Datum export;20230126 02:29;;;StationsCode;NL01485;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL01912;NL01913;NL10131;NL10136;NL10138;NL10230;NL10240;NL10247;NL10404;NL10418;NL10444;NL10448;NL10449;NL10538;NL10636;NL10641;NL10643;NL10644;NL10738;NL10741;NL10742;NL10821;NL10934;NL10937;NL10938
PM2.5;uur;µg/m³;20220501 13:00;20220501 14:00;8.8;9.4;8.7;8.1;6.1;7;8.1;5.8;11.6;8;12.1;12.522;19.607;15.648;16.501;18.431;15.932;4.292;11.993;9.072;8.371;7.695;8.277;9.984;5.11;19.666;18.333;9.67;6.338;14.492;12.532;0.754;6.065;6.647
PM2.5;uur;µg/m³;20220501 14:00;20220501 15:00;8.3;8.8;7.6;7.3;7.4;6.8;7;10.6;10.6;8;11.2;10.15;12.287;13.061;8.498;8.647;15.746;4.661;7.852;9.513;7.854;7.519;7.216;16.04;3.003;13.933;15.305;9.798;8.137;11.875;10.307;4.399;8.646;4.893
PM2.5;uur;µg/m³;20220501 15:00;20220501 16:00;9.2;9.1;8.5;7.1;9.5;8.7;10.5;12.3;10.9;7.6;8.6;9.621;10.925;10.748;11.415;6.959;11.277;11.581;7.745;5.651;7.768;13.482;8.693;11.532;4.34;10.288;14.531;12.532;9.788;10.111;11.277;4.328;10.033;6.057
PM2.5;uur;µg/m³;20220501 16:00;20220501 17:00;11.7;11.7;10.8;7.2;11;10.8;11.7;12.1;9.7;7.7;9.1;13.355;14.776;14.208;8.227;8.71;8.994;3.96;6.166;8.582;10.17;11.963;6.116;8.837;4.627;11.415;4.282;11.454;9.112;13.081;10.601;5.78;6.05;6.335
PM2.5;uur;µg/m³;20220501 17:00;20220501 18:00;12.3;12.5;11.6;7.5;11.4;11;12.1;11.3;8;8.1;11;12.316;15.834;9.543;12.904;6.322;8.17;5.661;12.277;7.444;11.081;14.786;2.988;8.145;4.987;7.502;2.378;8.965;10.944;10.346;12.62;2.388;4.436;5.28
PM2.5;uur;µg/m³;20220501 18:00;20220501 19:00;11.6;11.3;10.7;9.4;9.3;9.4;11.3;10.1;7.9;9.8;10;12.385;15.207;9.082;8.494;8.514;10.484;8.46;7.686;10.67;9.014;10.925;3.069;4.29;8.597;7.594;3.294;12.777;11.277;11.689;9.827;5.152;4.061;4
PM2.5;uur;µg/m³;20220501 19:00;20220501 20:00;10.4;10.3;9.9;9.2;7.5;8.6;8.1;9.5;7;9.4;12.6;14.11;12.904;12.914;7.564;6.245;4.821;12.199;13.551;6.24;9.072;14.188;4.684;3.132;5.552;3.571;1.649;8.896;13.286;16.922;9.2;4.849;6.269;2.587
PM2.5;uur;µg/m³;20220501 20:00;20220501 21:00;8;9.9;10.1;10.4;8.8;9.6;8;8.1;6.4;10.4;14.2;12.159;13.502;10.17;13.473;9.533;5.285;6.103;8.925;2.325;12.257;10.013;6.039;3.536;4.864;2.233;-0.327;7.406;15.041;18.52;9.974;3.881;4.922;2.798
PM2.5;uur;µg/m³;20220501 21:00;20220501 22:00;8.7;12.3;11.8;11.9;10;11.1;9.3;8.3;7.5;11.7;15.7;15.227;14.952;10.013;8.925;12.63;10.67;5.462;11.297;2.208;14.443;7.984;4.342;6.971;10.317;13.914;6.358;9.21;20.548;15.295;11.268;5.995;6.557;5.962
PM2.5;uur;µg/m³;20220501 22:00;20220501 23:00;12.7;16.5;16;14.2;12.8;14.5;13.5;12.1;10.5;14.9;18.7;14.933;16.834;17.981;5.103;14.962;12.199;12.512;16.03;2.904;13.757;8.368;5.833;6.27;5.865;10.915;7.796;9.827;15.335;17.432;10.062;6.417;5.789;8.925
PM2.5;uur;µg/m³;20220501 23:00;20220502 00:00;16.1;16.1;16.6;14.4;14.6;19.2;17.1;15.8;13.4;15.4;21.9;20.137;18.833;16.677;8.478;18.304;12.777;13.218;15.57;6.968;17.128;17.814;5.355;6.319;1.248;11.944;11.914;9.709;9.729;29.074;10.562;6.456;9.582;8.186
PM2.5;uur;µg/m³;20220502 00:00;20220502 01:00;14.6;12.5;12.7;10.9;16.9;18.2;19.6;19;15.1;11.1;26.5;20.068;18.657;12.718;8.778;13.13;20.039;7.747;10.493;9.964;19.833;15.825;5.748;14.119;4.352;16.824;12.248;17.99;20.244;23.606;9.278;8.279;10.092;5.997
PM2.5;uur;µg/m³;20220502 01:00;20220502 02:00;11.3;10.1;10.1;9.2;16.1;15;16.3;20.4;16.3;9.4;28.4;24.086;16.442;19.343;13.482;16.873;15.148;10.415;9.435;11.023;9.023;11.052;7.378;11.297;6.933;10.836;9.308;9.092;14.462;19.147;10.993;6.818;9.494;2.23
PM2.5;uur;µg/m³;20220502 02:00;20220502 03:00;9.3;9.5;9.6;9.8;14;11.3;14.1;19.2;15;10.2;28.1;21.499;23.714;15.648;8.533;13.855;10.121;6.334;6.863;11.826;9.67;16.981;6.798;11.307;5.798;10.307;11.748;8.571;19.451;16.775;8.473;11.385;9.317;0.97
PM2.5;uur;µg/m³;20220502 03:00;20220502 04:00;9.3;9.7;9.9;10.2;12.7;9.8;12.9;17.3;14;10.6;27.5;21.95;24.311;16.315;22.969;16.413;14.462;6.876;7.568;8.195;5.849;17.491;4.255;10.239;8.128;10.092;6.999;14.286;9.66;9.641;18.912;10.885;13.659;9.984
PM2.5;uur;µg/m³;20220502 04:00;20220502 05:00;9.6;10.5;10.5;10.9;12.1;10.5;13;14.4;13.1;11.2;26.2;23.704;22.244;15.599;12.385;20.538;16.746;4.743;8.906;7.405;8.974;14.894;10.317;9.543;6.971;16.246;6.1;9.974;17.5;11.366;10.239;7.416;11.15;6.116
PM2.5;uur;µg/m³;20220502 05:00;20220502 06:00;11.1;11.6;11.3;11.7;12.5;12.4;13.3;13.7;12.3;12.2;28.7;21.058;20.46;17.647;9.954;24.89;16.805;3.869;8.137;9.69;8.438;16.667;10.415;11.856;6.845;9.778;7.053;16.05;22.89;6.89;9.445;8.749;12.934;3.111
PM2.5;uur;µg/m³;20220502 06:00;20220502 07:00;13.5;12.7;14.7;12.1;12.5;14.2;13.5;13.4;12.5;13;24.6;23.194;25.154;24.703;26.144;21.038;22.998;5.801;11.405;16.589;18.451;19.255;5.798;14.149;9.249;17.843;5.258;12.081;16.344;30.044;18.039;6.838;14.286;7.973
PM2.5;uur;µg/m³;20220502 07:00;20220502 08:00;17.8;16.6;16.6;14.2;13.8;16.2;15.7;13.5;14.6;15.2;23.8;24.762;28.173;24.449;27.134;16.197;33.21;10.768;14.874;17.981;14.423;21.175;8.769;15.972;13.855;20.46;24.752;14.237;20.382;23.645;7.529;11.013;16.746;13.59
PM2.5;uur;µg/m³;20220502 08:00;20220502 09:00;17.3;17.8;17.4;15.2;15.6;17.3;18.3;15.5;17.3;16.2;24.6;14.276;19.745;29.78;17.696;16.05;23.086;16.491;13.355;;15.08;27.251;13.531;17.118;28.084;20.529;24.498;11.552;17.089;10.846;5.54;0.558;11.581;11.552
PM2.5;uur;µg/m³;20220502 09:00;20220502 10:00;17;16.7;16.3;14.8;15.1;14.8;16.2;15.4;16.6;15.5;20.9;10.827;13.345;19.304;14.747;11.807;17.442;7.48;8.522;17.941;17.5;18.529;10.219;12.826;22.724;13.404;22.949;8.689;12.306;6.401;;2.399;19.088;8.69
PM2.5;uur;µg/m³;20220502 10:00;20220502 11:00;13.3;14.9;14.1;11.7;13.2;12;13.7;12.2;12.9;12.3;17.5;14.688;13.169;19.911;8.09;14.58;15.413;7.147;8.684;15.207;9.494;8.739;8.551;15.099;10.542;14.051;17.608;8.808;11.16;5.56;-3.077;5.525;15.129;8.398
PM2.5;uur;µg/m³;20220502 11:00;20220502 12:00;12.1;12.3;11.6;10.8;10.9;11.5;11.8;9.2;10.7;11.1;17.9;11.483;12.649;15.56;8.984;9.562;12.826;9.455;8.233;11.199;9.719;13.198;5.485;13.228;9.7;10.435;18.52;9.219;17.099;16.334;8.424;4.839;10.239;7.735
PM2.5;uur;µg/m³;20220502 12:00;20220502 13:00;12;11.2;10.6;8.3;11;10.9;12.5;10.3;10.6;9.1;16.3;15.599;12.248;11.513;11.552;9.994;11.081;8.654;6.867;11.111;7.529;14.982;2.419;10.591;6.437;8.411;14.717;9.161;12.061;18.069;9.837;5.378;9.239;6.603
PM2.5;uur;µg/m³;20220502 13:00;20220502 14:00;11.9;11.4;10.7;9.5;10.7;11.5;11.5;9.1;10;10.5;12.7;15.972;17.059;12.13;11.787;11.424;7.876;7.025;6.338;6.922;11.532;7.485;1.663;9.425;2.62;11.62;8.224;4.642;10.346;16.138;10.239;4.898;6.989;3.782
PM2.5;uur;µg/m³;20220502 14:00;20220502 15:00;11.6;13.9;13.2;9.9;12;12.2;12.4;8.2;8.1;11.6;20.2;12.287;15.874;13.404;10.983;14.874;13.904;3.767;10.288;8.906;9.513;8.827;3.003;8.256;0.948;7.791;11.924;5.771;12.591;16.158;9.719;3.229;6.686;3.909
PM2.5;uur;µg/m³;20220502 15:00;20220502 16:00;11.4;13.5;13.3;11.9;10.7;11.2;11.7;9.1;8.2;12.9;20.7;14.031;16.697;10.699;8.181;14.364;13.306;5.263;8.243;9.386;7.727;12.855;2.043;10.866;4.53;2.947;7.052;6.512;10.209;14.364;9.729;1.914;4.561;3.09
PM2.5;uur;µg/m³;20220502 16:00;20220502 17:00;11;11.6;11;10.1;8.7;8.8;9.9;8.1;7.5;11.1;15.9;15.932;14.57;14.521;7.328;8.71;11.836;4.159;8.168;5.932;8.43;12.228;0.584;7;2.59;6.503;0.531;6.49;14.404;10.033;14.286;1.826;3.409;0.144
