Datum export;20230125 15:06;;;StationsCode;NL01485;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL01912;NL01913;NL10131;NL10136;NL10138;NL10230;NL10240;NL10241;NL10247;NL10404;NL10418;NL10444;NL10448;NL10449;NL10538;NL10636;NL10641;NL10643;NL10644;NL10738;NL10741;NL10742;NL10821;NL10934;NL10937;NL10938
PM2.5;uur;µg/m³;20220101 18:00;20220101 19:00;3.4;5.6;5.7;3.3;3.2;3.7;3.9;3.5;4.3;3.5;4.6;4.998;2.451;0.075;6.265;6.476;4.643;20.284;4.939;3.633;8.867;12.287;8.141;8.577;10.836;6.004;16.285;8.299;4.868;4.887;6.953;14.002;4.787;7.165;6.936
PM2.5;uur;µg/m³;20220101 19:00;20220101 20:00;3.9;7;6.4;3.8;4;4.8;4.4;4.1;5.2;3.5;6.5;5.247;4.476;2.573;5.654;7.845;5.324;12.453;2.031;2.17;6.877;8.827;5.817;8.084;12.11;10.003;12.179;6.927;3.946;5.182;5.125;6.909;6.13;4.864;14.031
PM2.5;uur;µg/m³;20220101 20:00;20220101 21:00;4.4;5.4;5;5;4.6;4.4;5.1;5.5;6.1;3.8;6.6;8.634;3.732;2.532;2.665;5.489;2.848;13.629;4.915;5.456;6.309;8.361;7.256;7.061;7.402;5.525;11.669;2.683;4.214;2.362;7.026;8.739;3.942;4.368;6.608
PM2.5;uur;µg/m³;20220101 21:00;20220101 22:00;5.5;5.8;5.5;4.8;5.6;5.6;6.4;6.4;7.3;5.4;7.5;6.249;2.768;1.422;0.862;7.203;7.95;15.354;4.099;7.215;13.375;8.685;12.963;8.935;10.621;6.178;9.67;3.963;4.364;6.531;7.255;7.445;4.053;3.973;5.94
PM2.5;uur;µg/m³;20220101 22:00;20220101 23:00;6.3;6.7;6.5;5.7;6.2;6.7;7;7.2;8.2;5.1;7.4;7.282;3.619;1.787;4.368;8.7;6.802;10.807;3.368;7.271;9.455;8.974;13.894;7.217;10.572;7.697;11.816;6.742;7.291;5.324;6.399;5.621;4.298;5.543;5.562
PM2.5;uur;µg/m³;20220101 23:00;20220102 00:00;6.8;7;6.7;6.3;6.7;7.4;7.6;7.8;8.9;6.3;7.9;6.708;2.875;0.873;4.709;7.49;4.439;13.992;5.838;6.406;8.945;8.538;4.88;12.502;14.658;8.429;13.894;5.883;7.062;7.624;8.277;5.525;5.148;6.264;5.821
PM2.5;uur;µg/m³;20220102 00:00;20220102 01:00;7.3;7.7;7.4;7;7.3;7.5;7.9;8.1;9.3;6.9;8;7.445;4.98;4.447;4.347;12.885;5.868;11.66;3.689;11.797;16.373;10.631;16.687;9.17;16.814;6.528;8.808;4.84;4.732;6.599;8.107;4.804;5.43;5.616;5.407
PM2.5;uur;µg/m³;20220102 01:00;20220102 02:00;7.4;8;7.6;7.4;7.6;7.8;8.2;8.8;9.3;7.7;8.3;8.945;4.889;5.007;6.507;7.95;4.234;10.915;8.984;8.788;11.601;12.61;8.225;10.376;14.541;9.239;10.307;8.118;5.309;7.419;5.87;4.031;9.239;6.097;7.708
PM2.5;uur;µg/m³;20220102 02:00;20220102 03:00;7.6;8;7.8;7.4;7.6;7.6;8.3;8.6;9;7.8;7.9;11.973;7.434;6.034;4.654;9.219;3.619;10.356;9.239;9.484;8.004;8.324;16.638;14.247;10.033;7.884;7.673;7.892;6.4;5.575;4.564;7.05;8.129;11.728;5.501
PM2.5;uur;µg/m³;20220102 03:00;20220102 04:00;7.8;8.1;7.9;7.4;7.7;7.8;8.1;7.9;8.3;7.7;7.7;10.268;10.513;8.04;4.924;9.337;9.464;13.678;9.161;9.817;5.283;6.582;7.336;13.11;13.933;14.041;8.279;10.983;8.565;5.874;5.218;8.281;6.932;9.288;6.631
